,x,y,z
429,-4.3050575,30.342442,-7.788052
430,-3.535066,27.554306,-7.320574
431,-3.6914873,25.823046,-7.9748416
432,-3.547109,27.287506,-7.892296
433,-3.7248056,30.373137,-7.6230955
434,-3.5553567,32.557213,-8.518336
435,-4.1478825,36.666798,-9.438995
436,-5.924315,38.422245,-9.848027
437,-7.681582,42.143505,-11.092392
438,-5.9726067,46.28618,-11.093072
439,-5.55546,44.32238,-11.171638
440,-7.3103127,41.43682,-11.337314
441,-7.11068,35.140022,-10.511175
442,-7.1209717,30.08692,-10.391169
443,-5.6822314,26.751947,-8.495443
444,-5.3620048,18.745995,-7.9825425
445,-5.2396502,15.3574505,-6.929501
446,-4.991154,12.6947775,-6.526517
447,-5.1906557,9.801232,-6.307896
448,-4.495392,5.7222815,-5.9837074
449,-5.514075,3.7818723,-5.0205054
450,-4.845761,2.6221857,-5.1419997
451,-4.3395066,1.4818769,-4.708486
452,-4.3759437,0.5955994,-3.704078
453,-4.65915,0.69438154,-3.0414531
454,-5.192969,0.8551329,-2.822947
455,-5.4153223,0.7837051,-2.8012369
456,-5.3656244,0.6735434,-2.8183384
457,-5.0740294,0.7001707,-2.8123887
458,-5.336289,1.0949998,-2.6927881
459,-5.2740726,0.814927,-2.6657815
460,-5.102537,0.7084753,-2.6954384
461,-5.1007533,0.53088033,-2.7649977
462,-5.1155624,0.6283115,-2.7860065
463,-5.333008,0.85259783,-2.8415515
464,-5.6662087,1.0911458,-2.9015918
465,-5.179364,0.8184696,-2.847048
466,-5.027269,1.2239746,-3.2283638
467,-5.399709,1.4361556,-3.1303072
468,-5.103341,1.2027336,-3.305001
469,-5.3395605,1.8046998,-3.268498
470,-5.544116,2.2117012,-3.462533
471,-5.5516863,2.4803803,-3.6630783
472,-5.2392883,2.4383843,-3.8858416
473,-5.5879045,2.5136387,-3.7886302
474,-5.723354,2.806398,-3.6704922
475,-5.377039,2.5901113,-3.4855523
476,-5.2568383,2.6831284,-3.5196953
477,-5.269875,3.3582077,-4.1431875
478,-5.6101294,3.3344066,-3.9751322
479,-5.764493,4.0042815,-3.7959175
480,-6.1586637,4.795644,-4.5635147
481,-5.951268,4.576718,-4.386667
482,-6.1275377,4.814993,-4.325377
483,-6.2748666,5.5813985,-4.3118553
484,-6.295928,7.0356016,-4.161803
485,-6.0471416,10.654002,-3.5548556
486,-7.4389453,19.941744,-4.3878407
487,-7.764802,24.853373,-5.011705
488,-7.4284205,31.616484,-4.95693
489,-8.10549,35.590515,-5.170504
490,-6.632245,40.006535,-4.92985
491,-5.084802,45.145092,-6.0673194
492,-4.1456723,41.32024,-6.3841357
493,-4.1738663,38.739075,-6.6764536
494,-4.6506934,35.315235,-6.84759
495,-5.745159,31.8613,-7.0583496
496,-5.951226,29.97703,-7.0928583
497,-5.058398,30.387833,-7.395313
498,-4.152747,30.908237,-6.419407
499,-4.0499845,32.34378,-7.506949
500,-4.608598,35.696568,-7.1550765
501,-4.562727,39.46329,-7.211141
502,-5.22009,47.691265,-8.778556
503,-4.101849,51.636948,-9.305117
504,-4.1943035,50.436962,-9.029354
505,-4.2898264,49.843025,-9.601878
506,-4.9997163,46.916653,-9.782893
507,-3.9167843,42.982548,-8.457847
508,-4.5193763,31.966425,-7.1455183
509,-3.9499853,27.704836,-6.619804
510,-4.0765576,23.077648,-7.7017574
511,-3.74656,18.373514,-7.349337
512,-4.438924,10.467224,-6.2026997
513,-3.7499359,7.7955422,-5.7189965
514,-3.9404695,5.493221,-5.4091787
515,-3.7812958,3.6008682,-5.376943
516,-3.2770636,1.4908367,-5.369924
517,-3.3154447,1.3041482,-5.319796
518,-3.440107,0.55504876,-4.632747
519,-3.6596887,0.470569,-4.538108
520,-3.4722273,0.39068198,-3.939987
521,-4.1126394,0.38591877,-4.034947
522,-4.832783,0.4788921,-4.0143867
523,-4.89219,0.95219725,-3.16325
524,-4.554089,1.7976891,-3.1374364
525,-4.7506623,2.399733,-3.0179272
526,-4.8618407,2.7822902,-2.8558252
527,-5.1131587,2.981957,-2.8847594
528,-4.8825006,2.4653146,-3.805604
529,-4.410956,2.4024818,-3.5829754
530,-4.906066,2.204374,-3.7241457
531,-4.8419557,2.1956851,-3.509563
532,-5.227595,2.2464616,-3.5727658
533,-5.599144,2.130867,-4.119499
534,-5.6307735,2.7051,-3.783169
535,-5.6717525,2.4304485,-3.826145
536,-5.768591,2.8427155,-4.027073
537,-5.782516,2.5885377,-3.9219248
538,-5.688988,3.0607967,-3.9232125
539,-5.712764,3.4162495,-3.8754766
540,-5.444491,7.9630847,-3.346671
541,-6.0043716,13.165536,-2.875505
542,-6.4074006,19.198797,-3.9653068
543,-6.333386,24.834724,-4.814476
544,-7.402628,31.231743,-4.818573
545,-7.106854,39.59998,-4.673618
546,-6.2136497,43.464268,-6.191551
547,-5.0222936,44.58488,-6.1253486
548,-5.0221934,41.710896,-6.668002
549,-5.1107063,37.50014,-6.477594
550,-5.0108614,31.632063,-7.2399335
551,-3.365192,31.166418,-6.9963307
552,-3.7977657,32.48272,-7.6195107
553,-4.122119,34.159603,-8.43285
554,-4.2293916,37.95811,-7.3782825
555,-4.6607213,41.008633,-8.044693
556,-6.188675,47.286564,-10.195038
557,-5.8474545,54.857674,-10.551003
558,-6.0736637,56.04378,-12.680295
559,-5.423802,48.448128,-11.572366
560,-5.0890203,44.661274,-9.254515
561,-4.962206,38.71215,-8.105089
562,-5.3027463,31.56101,-7.047227
563,-4.0701303,26.227705,-6.0896487
564,-3.3314474,20.953142,-6.6811776
565,-4.0333843,16.545166,-6.060452
566,-3.950591,8.8258,-5.376913
567,-3.0191548,5.309932,-5.498366
568,-3.0503197,3.1281664,-5.661565
569,-3.0004225,-0.08098188,-5.2048755
570,-3.7789295,-2.845316,-4.937848
571,-4.266357,-4.7821374,-4.692245
572,-4.9405103,-4.944506,-3.5477996
573,-5.4017663,-4.220585,-2.8755014
574,-5.0626097,-3.4677,-3.3078568
575,-6.0653915,-2.089825,-3.5316136
576,-5.037985,-0.9656594,-3.4270205
577,-5.4655366,-0.054087996,-2.9098017
578,-5.5404973,0.31727076,-2.8878698
579,-5.370883,0.19041081,-2.9981525
580,-5.011078,0.106137596,-3.2683449
581,-4.6501894,0.41213924,-3.1733258
582,-4.5043917,0.118843995,-3.5629768
583,-4.384815,0.22892493,-3.6677816
584,-4.3815227,0.29157773,-3.5545838
585,-3.627534,0.1315727,-3.8874636
586,-3.6588657,0.50487846,-3.9003565
587,-4.2310896,0.63615406,-3.5575566
588,-3.4291737,0.9719627,-3.563361
589,-3.609006,1.4387152,-4.050592
590,-3.9115071,1.3926127,-3.960297
591,-4.202037,1.5936565,-4.0171566
592,-3.9057782,1.7583802,-3.925082
593,-4.200333,2.0122762,-4.2918353
594,-4.6292486,2.7991152,-4.2610135
595,-4.907798,3.1056132,-4.3058696
596,-4.5690866,3.33761,-4.461441
597,-5.0355053,3.9103196,-4.700172
598,-4.89916,5.7697783,-4.739204
599,-6.0066104,7.7783113,-4.7995515
600,-6.1246524,10.04391,-4.844974
601,-5.949101,14.2083845,-4.4628863
602,-6.523021,17.337685,-4.73597
603,-6.9703856,25.412968,-5.8491716
604,-5.0040855,30.327642,-5.1401725
605,-6.4879684,33.694527,-5.461838
606,-5.152815,39.00085,-6.2889314
607,-3.7620173,42.549076,-5.3339415
608,-3.540371,46.513905,-6.1518083
609,-5.020804,51.22008,-6.9459386
610,-5.816942,51.061554,-7.668619
611,-5.883663,47.276707,-8.188004
612,-6.5658813,42.579838,-8.156228
613,-7.6339025,37.65354,-8.731163
614,-5.5687165,32.923134,-8.685897
615,-5.6044564,33.224342,-8.921315
616,-6.346878,32.51557,-8.819172
617,-5.213324,34.969578,-8.209031
618,-6.1173673,36.38976,-9.130262
619,-6.1998725,39.03603,-8.865345
620,-6.06104,47.912792,-9.188267
621,-6.272029,50.955116,-9.296809
622,-4.052984,55.31049,-8.426652
623,-4.3016806,56.28119,-8.341899
624,-3.9431798,53.79607,-8.467335
625,-4.1659694,48.945087,-8.909394
626,-5.050559,36.877903,-6.231225
627,-4.8794436,30.890072,-5.7732964
628,-4.753879,28.113382,-5.4701676
629,-5.371001,22.818827,-5.704656
630,-6.005423,15.511366,-5.2158785
631,-6.1967216,11.140906,-4.2265
632,-5.238793,8.486609,-4.3338704
633,-4.9451046,5.50167,-3.7085147
634,-4.670717,3.4716997,-4.1657505
635,-4.254303,0.06013618,-3.2125719
636,-4.4958825,-0.71157813,-2.870567
637,-4.354841,-1.0535742,-2.4326856
638,-4.5562077,-1.7939763,-2.6789365
639,-4.4140315,-1.9227413,-2.457295
640,-4.6996036,-1.6213938,-2.5935166
641,-4.5391536,-0.827851,-2.4035761
642,-4.93219,-0.24975936,-1.6978376
643,-4.8235297,0.15842699,-2.0030131
644,-4.663265,0.06044813,-2.1776712
645,-4.307465,0.2007328,-2.4488056
646,-3.6629555,0.16317534,-2.738281
647,-4.3197513,-0.09203933,-2.9443576
648,-4.355082,0.28050002,-2.9792054
649,-4.677076,-0.14952068,-2.7880943
650,-4.588547,0.05126947,-3.0124125
651,-4.6234903,-0.22875504,-2.8506413
652,-4.5649743,-0.29603407,-2.863153
653,-4.484053,-0.19519496,-2.887511
654,-4.447843,-0.01157666,-2.9300065
655,-4.344159,-0.18025568,-2.9542568
656,-3.7035394,0.06167531,-2.9367034
657,-3.6951795,0.20430593,-2.869782
658,-3.694786,0.64730465,-2.800258
659,-3.8396587,0.56883734,-2.78481
660,-3.9969983,0.56497544,-2.8393705
661,-3.7040126,0.45045224,-2.9608126
662,-3.779815,1.3894955,-3.1799746
663,-3.5846684,1.3024237,-3.1175623
664,-4.4550023,2.2354708,-3.0859802
665,-4.9243574,2.8446689,-3.6265297
666,-4.9632206,4.955243,-3.9181263
667,-5.8144555,14.016881,-3.548915
668,-6.467459,18.458893,-4.9396586
669,-7.4596376,23.166815,-5.8769574
670,-7.2871985,28.974054,-5.790776
671,-8.222946,30.73576,-5.693382
672,-7.850276,36.526943,-6.7715616
673,-8.404173,40.554443,-7.3206716
